folio,seq,tag,label
f88r,1,Lc,otorchety
f88r,2,Lf,osal
f88r,3,Lf,orald
f88r,4,Lf,oldar
f88r,5,Lf,otoky
f88r,6,Lf,otaly
f88r,12,Lc,otaldy
f88r,13,Lf,oram
f88r,14,Lf,dary
f88r,15,Lf,okol
f88r,16,Lf,sorory
f88r,17,Lf,otyda
f88r,23,Lc,ofyskydal
f88r,24,Lf,"otor,am"
f88r,25,Lf,ofaldo
f88v,1,Lc,okalyd
f88v,2,Lf,cheocthy
f88v,3,Lf,cpheor
f88v,4,Lf,otar.arody
f88v,5,Lf,otokol
f88v,11,Lc,otoram
f88v,12,Lf,otora
f88v,13,Lf,cheosdy
f88v,14,Lf,okaiin
f88v,27,Lc,daramdal
f88v,28,Lf,otydary
f88v,29,Lf,otdordy
f88v,30,Lf,dararda
f89r1,1,Lc,okchshy
f89r1,2,Lf,qkol
f89r1,3,Lf,oldam
f89r1,4,Lf,otoldy
f89r1,5,Lf,ararchodaiin
f89r1,11,Lc,ykyd
f89r1,12,Lf,"chol,ches"
f89r1,13,Lf,otorain
f89r1,14,Lf,"okaiin,dan"
f89r1,24,Lc,ykocfhy
f89r1,25,Lf,saldam
f89r1,26,Lf,sydarary
f89r1,27,Lf,yddy
f89r2,1,Lc,odory
f89r2,2,Lf,doly
f89r2,3,Lf,opchosam
f89r2,4,Lf,saloiinsheol
f89r2,5,Lf,opcheor
f89r2,9,Lc,otold
f89r2,10,Lf,okol.shol.dy
f89r2,11,Lf,opchoroiin
f89r2,16,Lc,korainy
f89r2,17,Lf,sodar
f89r2,18,Lf,cheys
f89r2,19,Lf,cheody
f89r2,20,Lf,oporain
f89r2,21,Lf,okshdchos
f89r2,29,Lc,okain
f89r2,30,Lc,yorain
f89r2,31,Lf,ofakal
f89r2,32,Lf,otalsy
f89r2,33,Lf,ytarem
f89r2,34,Lf,otolarol
f89v2,1,Lc,choeesy
f89v2,2,Lf,okam
f89v2,3,Lf,darcheor
f89v2,4,Lf,chokaro
f89v2,5,Lf,sheol
f89v2,6,Lf,chokam
f89v2,11,Lc,otory
f89v2,12,Lf,otair.chody
f89v2,13,Lf,dykaran
f89v2,14,Lf,opcheedey
f89v2,23,Lc,opaloiiry
f89v2,24,Lf,otaram
f89v2,25,Lf,chtchy
f89v2,27,Lf,sada
f89v2,28,Lf,daseky
f89v1,1,Lc,okoraldy
f89v1,2,Lf,otoy
f89v1,3,Lf,otchar
f89v1,4,Lf,darshody
f89v1,21,Lc,koeeorain
f89v1,22,Lf,otorshos
f89v1,23,Lf,"opol,olaiin"
f89v1,24,Lf,opaldaiin
f99r,1,Lc,okaradag
f99r,2,Lf,"okar,y"
f99r,3,Lf,darar
f99r,4,Lf,oky
f99r,5,Lf,salo
f99r,6,Lf,aro
f99r,7,Lf,ain
f99r,8,Lf,okor
f99r,9,Lf,ralol
f99r,10,Lf,skeeal
f99r,11,Lf,okary
f99r,12,Lf,okolo
f99r,13,Lf,otalam
f99r,14,Lf,otoldy
f99r,19,Lc,oparal
f99r,20,Lf,oaro
f99r,21,Lf,aloly
f99r,22,Lf,aora
f99r,23,Lf,choky
f99r,24,Lf,oky
f99r,25,Lf,okeoly
f99r,26,Lf,yteold
f99r,27,Lf,cheotchy
f99r,32,Lc,tsholdy
f99r,33,Lf,okos
f99r,34,Lf,oekey
f99r,35,Lf,dar
f99r,36,Lf,chockhia
f99r,37,Lf,"r,cheyet"
f99r,38,Lf,saiiny
f99r,39,Lf,sory
f99r,40,Lf,dam
f99r,45,Lc,yteoldy
f99r,46,Lf,tolsasy
f99v,1,Lc,okaramy
f99v,2,Lf,otoldy
f99v,3,Lf,otor<->chy
f99v,4,Lf,oldy
f99v,5,Lf,dar<->ary
