folio,sign,ring,slot,n_slots_in_ring,clock,angle_deg,eva_label,eva_label_clean,figure_type,holds_star,central_sign_desc,confidence,image_file,notes
f70v1,Pisces,1,1,10,00:00,0.0,opchey.sal,opchey.sal,tub,1,"two fish, one above the other",med,canvas_1006200_overview.jpg,
f70v1,Pisces,1,2,10,01:00,30.0,otakaizan,otakaizan,tub,1,"two fish, one above the other",med,canvas_1006200_overview.jpg,
f70v1,Pisces,1,3,10,02:30,75.0,okalal,okalal,tub,1,"two fish, one above the other",med,canvas_1006200_overview.jpg,
f70v1,Pisces,1,4,10,03:30,105.0,otaly,otaly,tub,1,"two fish, one above the other",med,canvas_1006200_overview.jpg,
f70v1,Pisces,1,5,10,04:30,135.0,oalcheg,oalcheg,tub,1,"two fish, one above the other",med,canvas_1006200_overview.jpg,
f70v1,Pisces,1,6,10,06:00,180.0,otchodals,otchodals,tub,1,"two fish, one above the other",med,canvas_1006200_overview.jpg,
f70v1,Pisces,1,7,10,07:00,210.0,okolshy,okolshy,tub,1,"two fish, one above the other",med,canvas_1006200_overview.jpg,
f70v1,Pisces,1,8,10,08:00,240.0,otshshdy,otshshdy,tub,1,"two fish, one above the other",med,canvas_1006200_overview.jpg,
f70v1,Pisces,1,9,10,09:00,270.0,otal.ypsharal,otal.ypsharal,tub,1,"two fish, one above the other",med,canvas_1006200_overview.jpg,
f70v1,Pisces,1,10,10,10:30,315.0,otalchy.tar.am.dy,otalchy.tar.am.dy,tub,1,"two fish, one above the other",med,canvas_1006200_overview.jpg,
f70v1,Pisces,2,1,5,00:00,0.0,otalaiin,otalaiin,tub,1,"two fish, one above the other",med,canvas_1006200_overview.jpg,
f70v1,Pisces,2,2,5,02:00,60.0,oteo.alals.araly,oteo.alals.araly,tub,1,"two fish, one above the other",med,canvas_1006200_overview.jpg,
f70v1,Pisces,2,3,5,05:00,150.0,oteoeey.otal.okealar,oteoeey.otal.okealar,tub,1,"two fish, one above the other",med,canvas_1006200_overview.jpg,
f70v1,Pisces,2,4,5,08:00,240.0,otear.araydy,otear.araydy,tub,1,"two fish, one above the other",med,canvas_1006200_overview.jpg,
f70v1,Pisces,2,5,5,10:30,315.0,okoly,okoly,tub,1,"two fish, one above the other",med,canvas_1006200_overview.jpg,
f70v2,Aries-A,1,1,19,00:00,0.0,oty.ar,oty.ar,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,1,2,19,00:30,15.0,okala,okala,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,1,3,19,01:00,30.0,otody,otody,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,1,4,19,01:30,45.0,otald,otald,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,1,5,19,02:00,60.0,otaldar,otaldar,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,1,6,19,02:45,82.5,okody,okody,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,1,7,19,03:15,97.5,opysam,opysam,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,1,8,19,04:00,120.0,ch{ckhh}y,chy,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,1,9,19,04:30,135.0,otaly,otaly,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,1,10,19,05:30,165.0,otal.arar,otal.arar,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,1,11,19,06:30,195.0,otaldy,otaldy,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,1,12,19,07:00,210.0,okeoly,okeoly,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,1,13,19,08:00,240.0,okydy,okydy,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,1,14,19,08:30,255.0,okee[s:r],okees,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,1,15,19,09:00,270.0,otalalg,otalalg,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,1,16,19,10:00,300.0,ykary,ykary,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,1,17,19,10:30,315.0,otar?,otar,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,1,18,19,11:00,330.0,oty,oty,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,1,19,19,11:30,345.0,oky.ody,oky.ody,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,2,1,10,00:00,0.0,otalar,otalar,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,2,2,10,01:30,45.0,otalam,otalam,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,2,3,10,03:00,90.0,dolaram,dolaram,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,2,4,10,04:00,120.0,okaram,okaram,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,2,5,10,05:00,150.0,oteosal,oteosal,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,2,6,10,06:30,195.0,salols,salols,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,2,7,10,08:00,240.0,okaldal,okaldal,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,2,8,10,09:00,270.0,ykolaiin,ykolaiin,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,2,9,10,10:00,300.0,otar.am,otar.am,tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f70v2,Aries-A,2,10,10,11:00,330.0,"otar,al","otar,al",tub,1,"horned ram/goat, green body, standing",high,canvas_1006201_full.jpg,
f71r,Aries-B,1,1,10,00:00,0.0,oteoaldy,oteoaldy,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71r,Aries-B,1,2,10,01:00,30.0,oteolar,oteolar,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71r,Aries-B,1,3,10,02:00,60.0,okeoaly,okeoaly,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71r,Aries-B,1,4,10,03:00,90.0,otaleky,otaleky,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71r,Aries-B,1,5,10,04:30,135.0,otalsar,otalsar,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71r,Aries-B,1,6,10,05:30,165.0,cheary,cheary,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71r,Aries-B,1,7,10,07:00,210.0,oteotey.rary,oteotey.rary,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
f71r,Aries-B,1,8,10,08:30,255.0,otalaly,otalaly,tub,1,"pale ram lying, small figure feeding/crowning it",high,canvas_1006202_full.jpg,
